compound_id	smiles
cpd19779	Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1
cpd06059	CC(C)c1cc2c(cc1[O-])[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2
cpd19945	Cc1cc(O)c2c(c1)C[C@@H](O)C1=C2C(=O)c2cccc(O)c2C1=O
cpd19067	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
cpd00805	O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@H]1O
cpd21925	NCC(N)C(=O)O
cpd02664	O/N=C/Cc1ccc(O)cc1
cpd08558	CC1(C)S[C@@H]2[C@H](N=C(O)[C@H]([NH3+])c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21
cpd08972	CO[C@@H]1C=C[C@@]23CC[NH+]([C@H]2C1)[C@H](O)c1cc2c(cc13)OCO2
cpd25569	C=CCCC
cpd09179	CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1C(=O)O)C(=O)c1cccc(O)c1C3=O
cpd14925	Oc1c2ccccc2c(O)c2ccccc12
cpd04109	O[C@H]1C=Cc2sc3ccccc3c2[C@H]1O
cpd25740	CC(C)C(N=C(O)Cc1c[nH]c2cc([O-])ccc12)C(=O)O
cpd02375	O=C([O-])CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)[O-]
cpd15891	CC1[C@H]2[C@H](C)Nc3[nH]c(=N)nc(O)c3N2C=[N+]1c1ccc(C[C@H](O)[C@H](O)[C@H](O)CO[C@H]2O[C@H](COP(=O)([O-])O[C@@H](CCC(=O)[O-])C([O-])=N[C@@H](CCC(=O)[O-])C(=O)O)[C@@H](O)[C@H]2O)cc1
cpd08543	O=C(c1ccc(F)cc1)C1CC[NH+](CCn2c(=S)[n-]c3ccccc3c2=O)CC1
cpd06486	COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC
